ArrivedTime,ExecutionTime(ms),,,,,,,,,,,
10/06/2020 14:51:39.062 ,28,,,,,,,,,,,
10/06/2020 14:52:24.040 ,0,,,,,,,,,,,
10/06/2020 14:53:05.099 ,3,,,,,,,,,,,
10/06/2020 14:51:49.817 ,31,,,,,,,,,,,
10/06/2020 14:52:25.987 ,0,,,,,,,,,,,
10/06/2020 14:52:12.609 ,0,,,,,,,,,,,
10/06/2020 14:52:16.580 ,0,,,,,,,,,,,
10/06/2020 14:52:20.798 ,3,,,,,,,,,,,
10/06/2020 14:52:08.227 ,27,,,,,,,,,,,
10/06/2020 14:52:20.552 ,7,,,,,,,,,,,
10/06/2020 14:52:09.039 ,35,,,,,,,,,,,
10/06/2020 14:51:48.088 ,31,,,,,,,,,,,
10/06/2020 14:51:55.596 ,34,,,,,,,,,,,
10/06/2020 14:52:01.087 ,35,,,,,,,,,,,
10/06/2020 14:52:56.878 ,1,,,,,,,,,,,
10/06/2020 14:53:10.868 ,2,,,,,,,,,,,
10/06/2020 14:51:44.269 ,25,,,,,,,,,,,
10/06/2020 14:53:05.941 ,1,,,,,,,,,,,
10/06/2020 14:53:12.821 ,0,,,,,,,,,,,
10/06/2020 14:53:22.570 ,0,,,,,,,,,,,
10/06/2020 14:51:41.522 ,33,,,,,,,,,,,
10/06/2020 14:53:09.176 ,3,,,,,,,,,,,
10/06/2020 14:52:18.375 ,0,,,,,,,,,,,
10/06/2020 14:53:10.433 ,0,,,,,,,,,,,
10/06/2020 14:52:22.771 ,62,,,,,,,,,,,
10/06/2020 14:52:01.477 ,35,,,,,,,,,,,
10/06/2020 14:52:31.601 ,45,,,,,,,,,,,
10/06/2020 14:53:09.020 ,1,,,,,,,,,,,
10/06/2020 14:52:18.647 ,0,,,,,,,,,,,
10/06/2020 14:51:04.972 ,34,,,,,,,,,,,
10/06/2020 14:53:17.575 ,1,,,,,,,,,,,
10/06/2020 14:53:23.760 ,1,,,,,,,,,,,
10/06/2020 14:53:20.875 ,0,,,,,,,,,,,
10/06/2020 14:53:10.407 ,2,,,,,,,,,,,
10/06/2020 14:52:34.009 ,39,,,,,,,,,,,
10/06/2020 14:52:57.076 ,3,,,,,,,,,,,
10/06/2020 14:53:30.570 ,0,,,,,,,,,,,
10/06/2020 14:53:08.068 ,3,,,,,,,,,,,
10/06/2020 14:53:10.741 ,1,,,,,,,,,,,
10/06/2020 14:53:18.264 ,1,,,,,,,,,,,
10/06/2020 14:53:15.709 ,0,,,,,,,,,,,
10/06/2020 14:53:43.347 ,0,,,,,,,,,,,
10/06/2020 14:53:16.938 ,0,,,,,,,,,,,
10/06/2020 14:52:03.832 ,52,,,,,,,,,,,
10/06/2020 14:53:36.353 ,22,,,,,,,,,,,
10/06/2020 15:17:46.687 ,208,,,,,,,,,,,
10/06/2020 15:17:55.558 ,227,,,,,,,,,,,
10/06/2020 15:21:06.696 ,21,,,,,,,,,,,
10/06/2020 15:20:45.886 ,21,,,,,,,,,,,
10/06/2020 15:21:20.005 ,1,,,,,,,,,,,
10/06/2020 15:20:52.039 ,20,,,,,,,,,,,
10/06/2020 15:21:13.029 ,20,,,,,,,,,,,
10/06/2020 15:21:17.106 ,21,,,,,,,,,,,
10/06/2020 15:21:15.777 ,22,,,,,,,,,,,
10/06/2020 15:21:50.391 ,22,,,,,,,,,,,
10/06/2020 15:21:33.942 ,22,,,,,,,,,,,
10/06/2020 15:20:54.523 ,20,,,,,,,,,,,
10/06/2020 15:21:10.184 ,21,,,,,,,,,,,
10/06/2020 15:18:04.937 ,195,,,,,,,,,,,
10/06/2020 15:22:07.159 ,1,,,,,,,,,,,
10/06/2020 15:22:03.999 ,21,,,,,,,,,,,
10/06/2020 15:21:39.185 ,21,,,,,,,,,,,
10/06/2020 15:21:03.565 ,20,,,,,,,,,,,
10/06/2020 15:21:28.772 ,19,,,,,,,,,,,
10/06/2020 15:21:25.077 ,20,,,,,,,,,,,
10/06/2020 15:21:03.865 ,21,,,,,,,,,,,
10/06/2020 15:21:55.446 ,2,,,,,,,,,,,
10/06/2020 15:21:19.740 ,21,,,,,,,,,,,
10/06/2020 15:21:44.509 ,22,,,,,,,,,,,
10/06/2020 15:18:08.056 ,198,,,,,,,,,,,
10/06/2020 15:21:49.794 ,20,,,,,,,,,,,
10/06/2020 15:22:13.125 ,20,,,,,,,,,,,
10/06/2020 15:21:54.757 ,28,,,,,,,,,,,
10/06/2020 15:21:20.311 ,21,,,,,,,,,,,
10/06/2020 15:22:23.092 ,22,,,,,,,,,,,
10/06/2020 15:22:13.177 ,2,,,,,,,,,,,
10/06/2020 15:21:26.301 ,22,,,,,,,,,,,
10/06/2020 15:22:00.644 ,21,,,,,,,,,,,
10/06/2020 15:21:18.152 ,22,,,,,,,,,,,
10/06/2020 15:21:47.054 ,20,,,,,,,,,,,
10/06/2020 15:22:39.687 ,20,,,,,,,,,,,
10/06/2020 15:22:51.279 ,20,,,,,,,,,,,
10/06/2020 15:22:21.528 ,19,,,,,,,,,,,
10/06/2020 15:22:05.703 ,4,,,,,,,,,,,
10/06/2020 15:22:12.164 ,2,,,,,,,,,,,
10/06/2020 15:18:10.596 ,240,,,,,,,,,,,
10/06/2020 15:21:47.700 ,22,,,,,,,,,,,
10/06/2020 15:22:38.061 ,4,,,,,,,,,,,
10/06/2020 15:21:53.042 ,20,,,,,,,,,,,
10/06/2020 15:22:38.336 ,22,,,,,,,,,,,
10/06/2020 15:22:06.594 ,21,,,,,,,,,,,
10/06/2020 15:22:22.793 ,20,,,,,,,,,,,
10/06/2020 15:22:32.561 ,20,,,,,,,,,,,
10/06/2020 15:22:41.537 ,21,,,,,,,,,,,
10/06/2020 15:18:10.915 ,272,,,,,,,,,,,
10/06/2020 15:22:37.924 ,2,,,,,,,,,,,
10/06/2020 15:21:50.358 ,20,,,,,,,,,,,
10/06/2020 15:22:15.390 ,22,,,,,,,,,,,
10/06/2020 15:22:48.787 ,2,,,,,,,,,,,
10/06/2020 15:18:09.349 ,280,,,,,,,,,,,
10/06/2020 15:18:15.243 ,261,,,,,,,,,,,
10/06/2020 15:22:42.536 ,0,,,,,,,,,,,
10/06/2020 15:23:21.021 ,0,,,,,,,,,,,
10/06/2020 15:17:57.960 ,263,,,,,,,,,,,
10/06/2020 15:18:07.055 ,281,,,,,,,,,,,
10/06/2020 15:22:39.992 ,21,,,,,,,,,,,
10/06/2020 15:23:11.369 ,2,,,,,,,,,,,
10/06/2020 15:22:20.992 ,21,,,,,,,,,,,
10/06/2020 15:23:41.789 ,0,,,,,,,,,,,
10/06/2020 15:23:19.783 ,0,,,,,,,,,,,
10/06/2020 15:22:48.830 ,20,,,,,,,,,,,
10/06/2020 15:23:06.675 ,0,,,,,,,,,,,
10/06/2020 15:23:15.997 ,0,,,,,,,,,,,
