Queue Time (ms),Response Time (s),Worker ID
0,0.23,2
0,0.2,1
0,21.71,1
0,0.23,2
0,20.57,4
0,0.18,2
0,0.17,2
0,0.15,2
0,18.9,2
0,0.22,3
0,23.18,3
0,0.16,6
0,19.32,6
0,0.19,9
0,0.2,9
0,0.21,9
0,0.7,1
0,0.21,4
0,0.21,1
0,0.19,1
0,0.63,4
0,0.2,9
0,0.2,1
0,0.21,9
0,0.23,22
0,0.26,1
0,1.11,1
0,0.7,1
0,0.74,1
0,0.15,2
0,0.19,1
0,0.2,1
0,20.93,1
0,0.14,2
0,0.45,2
0,0.2,2
0,36.7,1
0,36.42,2
0,42.44,3
0,1.21,4
0,20.7,6
0,22.84,4
0,0.89,9
0,23.5,9
0,21.27,1
0,0.73,2
0,0.21,22
0,0.29,2
0,21.37,2
0,19.62,22
0,1.65,6
0,19.42,3
0,22.69,4
0,0.21,6
0,0.17,6
0,0.54,1
0,0.51,6
0,0.18,1
0,0.15,1
0,0.11,1
0,0.76,6
0,0.11,1
0,0.67,1
0,0.37,1
0,1.11,1
0,3.69,1
0,0.98,2
0,0.17,1
0,3.81,1
0,0.56,2
0,1.15,3
0,7.9,2
0,9.3,4
0,0.49,6
0,3.21,3
0,0.72,1
0,1.73,1
0,1.85,6
0,3.98,1
0,22.3,1
0,1.57,2
0,0.48,3
0,0.53,4
0,0.44,6
0,0.52,9
0,1.15,3
0,4.89,2
0,10.05,3
0,1.94,4
0,0.78,6
0,0.97,2
0,1.09,2
0,0.51,4
0,0.47,6
0,0.45,9
0,1.1,4
0,0.57,22
0,0.63,27
0,0.52,2
0,0.47,3
0,0.5,4
0,0.59,6
0,0.14,1
0,0.9,1
0,0.9,1
0,1.48,1
0,3.55,2
0,1.19,1
0,1.22,3
0,1.68,1
0,1.9,3
0,2.91,4
0,1.17,2
0,1.82,1
0,0.14,2
0,1.74,2
0,1.95,3
0,23.06,1
0,0.79,2
0,23.03,3
0,23.38,2
0,24.54,4
0,0.55,6
0,24.62,6
0,0.67,9
0,0.49,22
0,6.82,9
0,7.68,22
0,1.07,27
0,23.95,29
0,1.24,27
0,3.31,42
0,3.68,43
0,1.35,9
0,0.54,9
0,28.04,22
0,25.54,9
0,1.02,1
0,0.9,27
0,8.98,1
0,6.67,2
0,28.76,3
0,0.53,1
0,2.78,1
0,0.72,1
0,0.12,2
0,1.4,1
0,0.88,1
0,0.37,2
0,0.51,1
0,85.29,1
0,71.5,2
0,103.3,3
0,135.64,4
0,175.24,6
0,147.15,9
0,129.61,22
0,138.88,27
0,90.54,29
0,200.19,42
0,246.92,43
0,2.85,44
0,12.28,45
0,114.48,46
0,21.39,47
0,20.23,44
0,176.84,48
0,0.72,49
0,150.62,49
0,21.5,50
0,22.49,51
0,0.1,52
0,24.63,45
0,22.17,52
0,201.77,53
0,206.21,54
0,21.92,55
0,238.59,56
0,21.61,57
0,0.97,44
0,20.75,47
0,0.12,44
0,0.75,2
0,214.21,44
0,238.55,2
0,220.61,58
0,22.55,59
0,21.96,60
0,0.96,50
0,18.23,61
0,0.95,50
0,22.93,1
0,134.85,50
0,22.76,51
0,22.66,62
0.56,23.02,52
1.23,22.72,45
1.71,24.73,55
2.28,27.13,57
1.21,22.37,47
3.52,24.31,65
2.73,25.76,64
2.42,3.24,63
1.78,1.96,63
0,0.91,63
0.36,0.47,61
0,22.17,63
0,0.12,61
0,3.01,59
0,0.43,60
0,0.62,61
0,0.48,60
0.01,0.14,61
0,20.85,60
0,23.26,61
0,1,1
0,0.16,51
0,0.46,1
0,0.12,51
